# RAO Surge data generated on 04-Feb-2016 22:15:14
#
#  time period       Amplitude         Phase delay
# (s)               (m)             (radians)
  0.40000000     0.00000000     0.00000000
  0.80000000     0.00000000     0.00000000
  1.20000000     0.00000000     0.00000000
  1.60000000     0.00000000     0.00000000
  2.00000000     0.00000000     0.00000000
  2.40000000     0.00000000     0.00000000
  2.80000000     0.00000000     0.00000000
  3.20000000     0.00000000     0.00000000
  3.60000000     0.00000000     0.00000000
  4.00000000     0.00000000     0.00000000
  4.40000000     0.00000000     0.00000000
  4.80000000     0.00000000     0.00000000
  5.20000000     0.00000000     0.00000000
  5.60000000     0.00000000     0.00000000
  6.00000000     0.00000000     0.00000000
  6.40000000     0.00000000     0.00000000
  6.80000000     0.00000000     0.00000000
  7.20000000     0.00000000     0.00000000
  7.60000000     0.00000000     0.00000000
  8.00000000     0.00000000     0.00000000
  8.40000000     0.00000000     0.00000000
  8.80000000     0.00000000     0.00000000
  9.20000000     0.00000000     0.00000000
  9.60000000     0.00000000     0.00000000
 10.00000000     0.00000000     0.00000000
 10.40000000     0.00000000     0.00000000
 10.80000000     0.00000000     0.00000000
 11.20000000     0.00000000     0.00000000
 11.60000000     0.00000000     0.00000000
 12.00000000     0.00000000     0.00000000
 12.40000000     0.00000000     0.00000000
 12.80000000     0.00000000     0.00000000
 13.20000000     0.00000000     0.00000000
 13.60000000     0.00000000     0.00000000
 14.00000000     0.00000000     0.00000000
 14.40000000     0.00000000     0.00000000
 14.80000000     0.00000000     0.00000000
 15.20000000     0.00000000     0.00000000
 15.60000000     0.00000000     0.00000000
 16.00000000     0.00000000     0.00000000
 16.40000000     0.00000000     0.00000000
 16.80000000     0.00000000     0.00000000
 17.20000000     0.00000000     0.00000000
 17.60000000     0.00000000     0.00000000
 18.00000000     0.00000000     0.00000000
 18.40000000     0.00000000     0.00000000
 18.80000000     0.00000000     0.00000000
 19.20000000     0.00000000     0.00000000
 19.60000000     0.00000000     0.00000000
 20.00000000     0.00000000     0.00000000
 20.40000000     0.00000000     0.00000000
 20.80000000     0.00000000     0.00000000
 21.20000000     0.00000000     0.00000000
 21.60000000     0.00000000     0.00000000
 22.00000000     0.00000000     0.00000000
 22.40000000     0.00000000     0.00000000
 22.80000000     0.00000000     0.00000000
 23.20000000     0.00000000     0.00000000
 23.60000000     0.00000000     0.00000000
 24.00000000     0.00000000     0.00000000
 24.40000000     0.00000000     0.00000000
 24.80000000     0.00000000     0.00000000
 25.20000000     0.00000000     0.00000000
 25.60000000     0.00000000     0.00000000
 26.00000000     0.00000000     0.00000000
 26.40000000     0.00000000     0.00000000
 26.80000000     0.00000000     0.00000000
 27.20000000     0.00000000     0.00000000
 27.60000000     0.00000000     0.00000000
 28.00000000     0.00000000     0.00000000
 28.40000000     0.00000000     0.00000000
 28.80000000     0.00000000     0.00000000
 29.20000000     0.00000000     0.00000000
 29.60000000     0.00000000     0.00000000
 30.00000000     0.00000000     0.00000000
 30.40000000     0.00000000     0.00000000
 30.80000000     0.00000000     0.00000000
 31.20000000     0.00000000     0.00000000
 31.60000000     0.00000000     0.00000000
 32.00000000     0.00000000     0.00000000
 32.40000000     0.00000000     0.00000000
 32.80000000     0.00000000     0.00000000
 33.20000000     0.00000000     0.00000000
 33.60000000     0.00000000     0.00000000
 34.00000000     0.00000000     0.00000000
 34.40000000     0.00000000     0.00000000
 34.80000000     0.00000000     0.00000000
 35.20000000     0.00000000     0.00000000
 35.60000000     0.00000000     0.00000000
 36.00000000     0.00000000     0.00000000
 36.40000000     0.00000000     0.00000000
 36.80000000     0.00000000     0.00000000
 37.20000000     0.00000000     0.00000000
 37.60000000     0.00000000     0.00000000
 38.00000000     0.00000000     0.00000000
 38.40000000     0.00000000     0.00000000
 38.80000000     0.00000000     0.00000000
 39.20000000     0.00000000     0.00000000
 39.60000000     0.00000000     0.00000000
 40.00000000     0.00000000     0.00000000
 40.40000000     0.00000000     0.00000000
 40.80000000     0.00000000     0.00000000
 41.20000000     0.00000000     0.00000000
 41.60000000     0.00000000     0.00000000
 42.00000000     0.00000000     0.00000000
 42.40000000     0.00000000     0.00000000
 42.80000000     0.00000000     0.00000000
 43.20000000     0.00000000     0.00000000
 43.60000000     0.00000000     0.00000000
 44.00000000     0.00000000     0.00000000
 44.40000000     0.00000000     0.00000000
 44.80000000     0.00000000     0.00000000
 45.20000000     0.00000000     0.00000000
 45.60000000     0.00000000     0.00000000
 46.00000000     0.00000000     0.00000000
 46.40000000     0.00000000     0.00000000
 46.80000000     0.00000000     0.00000000
 47.20000000     0.00000000     0.00000000
 47.60000000     0.00000000     0.00000000
 48.00000000     0.00000000     0.00000000
 48.40000000     0.00000000     0.00000000
 48.80000000     0.00000000     0.00000000
 49.20000000     0.00000000     0.00000000
 49.60000000     0.00000000     0.00000000
 50.00000000     0.00000000     0.00000000
 50.40000000     0.00000000     0.00000000
 50.80000000     0.00000000     0.00000000
 51.20000000     0.00000000     0.00000000
 51.60000000     0.00000000     0.00000000
 52.00000000     0.00000000     0.00000000
 52.40000000     0.00000000     0.00000000
 52.80000000     0.00000000     0.00000000
 53.20000000     0.00000000     0.00000000
