# RAO Surge data generated on 04-Feb-2016 22:15:15
#
#  time period       Amplitude         Phase delay
# (s)               (rad/m)             (radians)
 57.60000000     0.00554619     1.57076934
 58.00000000     0.00550673     1.57062006
 58.40000000     0.00546770     1.57072101
 58.80000000     0.00542930     1.57096923
 59.20000000     0.00539146     1.57075812
 59.60000000     0.00535415     1.57077287
 60.00000000     0.00531735     1.57073025
 60.40000000     0.00528107     1.57072158
 60.80000000     0.00524528     1.57070137
 61.20000000     0.00520997     1.57074450
 61.60000000     0.00517514     1.57068636
 62.00000000     0.00514077     1.57072945
 62.40000000     0.00510687     1.57071756
 62.80000000     0.00507343     1.57067602
 63.20000000     0.00504043     1.57071550
 63.60000000     0.00500786     1.57076592
 64.00000000     0.00497572     1.57070216
